Rank (avg),team_name,team_id,match_week,Goal Performance Index,Goal Envolvement Index,Goal Conversion Index,Possession GoalChance Index,corner Efficiency,freekick Efficiency,directfk Efficiency,throw in Efficiency,SetPiece Eficcacy Index,GoalSetPiece Performance Index
1,Universidad de Chile,1917,15,7.362554295523133,9.092299676431645,7.405369818265277,8.205500675910331,7.416599823299318,9.5,0.6268961997859674,4.781395939470794,6.6554739355646335,9.993223086900135
2,Colo Colo,1916,15,7.28638814278608,9.5,6.875920577319713,6.508787682392475,7.167263387679647,4.685775931347699,3.9225155193055494,6.401951375050617,5.983648142077643,7.497809290239759
3,Coquimbo Unido,1914,15,7.093301650016463,3.4804567516802862,9.5,8.674381035281252,8.500498601247125,3.2649417245171164,0.6294162686842648,1.814398639864381,5.342337036041919,7.06352381084429
4,Audax Italiano,1918,15,6.9502359418790975,1.374842126093002,9.279614395288426,9.5,7.102952247334187,5.329482542514136,3.805670376039061,4.721745609570733,5.92687187665856,7.907803487953875
5,Palestino,1925,15,6.8872826653510515,5.674863165882676,7.840309455214913,3.342613263377819,2.1457985277239073,5.863479338780288,6.42067085445845,0.5,3.5518697267257933,5.962835180987607
6,Deportes Limache,30140,15,6.7726822045913435,2.814712025114508,5.22513818311678,9.259403196117129,6.599836367196737,5.550563754611984,6.937069117616536,1.348247428452422,5.862944232739087,7.531756494226346
7,Deportivo Ñublense SADP,5102,15,6.762597082654239,6.752759922016872,1.5475306938639009,7.834299618915628,3.505158863600028,7.038261701683855,9.5,9.5,5.887144857220978,3.9482844947585085
8,Huachipato,1915,15,6.702310881878977,3.062439078680274,9.066937823433648,2.8514417511713295,6.367538546241695,5.084920146861335,3.517063266075837,6.733387380698127,5.65589753781737,4.935343538660363
9,Deportes Iquique,1864,15,6.666027756304,3.2063167803895527,4.167642464867793,7.966856363083231,6.485821075288373,6.726889460518206,8.15161120380603,3.644581241345698,6.511832707479213,5.507909631383845
10,O'Higgins,1962,15,6.537598969986957,5.032962263423598,0.8857532143948612,7.0174191703437,9.5,7.721204271987771,0.5,8.27008911020029,7.582309979016973,9.17440099772569
11,Universidad Católica,1924,15,6.466530084750412,3.160076698570892,6.4231239151311055,1.2521727256490616,2.6148786772626087,3.6711757270468968,3.0484558909233823,2.1821102858217802,2.900712682613714,4.856656822764389
12,Unión Española,1921,15,6.447413460801934,3.7920232407490384,3.29147488163968,3.8783225623030795,7.312765297463095,2.7640959006026993,2.942677012613607,1.347529008191719,4.923561076593435,5.7234570274102134
13,Cobresal,1926,15,6.252287919480049,1.2478951258574504,2.989737311404916,4.4806869705108845,7.5430835355597905,0.5,4.42101706381071,3.6565521009017576,4.925349537441678,4.601785669328957
14,Unión La Calera,1954,15,6.194396858857483,2.0319006684963887,3.615161232623287,1.2034301716388842,0.5,0.9945813285359424,6.732979140064006,1.1976375920087725,1.628355962344464,0.5
15,La Serena,1920,15,6.114129118413205,0.5,4.740724672039145,0.5,4.1523844129271605,0.7713942694574365,3.7395189344334088,5.702436799622004,3.400212293955151,2.552796760227061
16,Everton,1919,15,6.093680157424625,1.8871560321526806,0.5,3.7363347453603284,7.404455400777569,1.1635473676377766,5.78111042355218,3.196418008314231,5.179922906662479,6.540973978254582
