Rank (avg),team_name,team_id,match_week,Goal Performance Index,Goal Envolvement Index,Goal Conversion Index,Possession GoalChance Index
1,Colo Colo,1916,15,7.28638814278608,5.371962223228452,3.422470627038626,4.601841432554297
2,Universidad de Chile,1917,15,7.362554295523133,5.26824204231789,3.4999831782231894,5.005759165762518
3,Deportivo Ñublense SADP,5102,15,6.762597082654239,4.673056136033794,2.642382449303109,4.917391427624949
4,Palestino,1925,15,6.8872826653510515,4.39883597949668,3.563659312333882,3.8481052384212395
5,O'Higgins,1962,15,6.537598969986957,4.235534471303136,2.545496748497261,4.722925716364505
6,Unión Española,1921,15,6.447413460801934,3.919835874833416,2.897699772785475,3.975635637791744
7,Coquimbo Unido,1914,15,7.093301650016463,3.840572428758516,3.8066417143360725,5.1173803371842626
8,Deportes Iquique,1864,15,6.666027756304,3.770830400672233,3.0259726635349904,4.9489477484819195
9,Universidad Católica,1924,15,6.466530084750412,3.759066785648399,3.3561801845565253,3.350457134922415
10,Huachipato,1915,15,6.702310881878977,3.7342274833145277,3.743240444618039,3.731177458304719
11,Deportes Limache,30140,15,6.7726822045913435,3.6712049804442946,3.180792398174404,5.256650105250028
12,Unión La Calera,1954,15,6.194396858857483,3.4720554315387724,2.9450881773916513,3.3388535331336704
13,Everton,1919,15,6.093680157424625,3.4352319634188464,2.489021616486512,3.9418341655440474
14,Audax Italiano,1918,15,6.9502359418790975,3.3048977744380097,3.7743767696644395,5.31392633052371
15,Cobresal,1926,15,6.252287919480049,3.2726020781401948,2.8535247186946284,4.119033883257027
16,La Serena,1920,15,6.114129118413205,3.0823353227029595,3.1098731784115414,3.1713956769823155
