team_name,team_id,corner_subindex,free_kick_subindex,directfk_subindex,throw_in_subindex,SetPiece Eficcacy Index
Unión La Calera,1954,0.5,0.9945813285359424,6.732979140064006,1.1976375920087725,1.628355962344464
Audax Italiano,1918,7.102952247334187,5.329482542514136,3.805670376039061,4.721745609570733,5.92687187665856
Cobresal,1926,7.5430835355597905,0.5,4.42101706381071,3.6565521009017576,4.925349537441678
Deportes Iquique,1864,6.485821075288373,6.726889460518206,8.15161120380603,3.644581241345698,6.511832707479213
Huachipato,1915,6.367538546241695,5.084920146861335,3.517063266075837,6.733387380698127,5.65589753781737
Palestino,1925,2.1457985277239073,5.863479338780288,6.42067085445845,0.5,3.5518697267257933
Unión Española,1921,7.312765297463095,2.7640959006026993,2.942677012613607,1.347529008191719,4.923561076593435
Universidad de Chile,1917,7.416599823299318,9.5,0.6268961997859674,4.781395939470794,6.6554739355646335
Coquimbo Unido,1914,8.500498601247125,3.2649417245171164,0.6294162686842648,1.814398639864381,5.342337036041919
La Serena,1920,4.1523844129271605,0.7713942694574365,3.7395189344334088,5.702436799622004,3.400212293955151
Universidad Católica,1924,2.6148786772626087,3.6711757270468968,3.0484558909233823,2.1821102858217802,2.900712682613714
Everton,1919,7.404455400777569,1.1635473676377766,5.78111042355218,3.196418008314231,5.179922906662479
O'Higgins,1962,9.5,7.721204271987771,0.5,8.27008911020029,7.582309979016973
Colo Colo,1916,7.167263387679647,4.685775931347699,3.9225155193055494,6.401951375050617,5.983648142077643
Deportivo Ñublense SADP,5102,3.505158863600028,7.038261701683855,9.5,9.5,5.887144857220978
Deportes Limache,30140,6.599836367196737,5.550563754611984,6.937069117616536,1.348247428452422,5.862944232739087
